Position; Velocity; Acceleration; Pitch; Roll; Heading; LeftWingInclination; rightWingInclination; horStabInclination; verStabInclination; LliftX; LliftY; LliftZ; RliftX; RliftY; RliftZ; horLiftX; horLiftY; horLiftZ; verLiftX; verLiftY; verLiftZ; momentX; momentY; momentZ
(0.00, 0.00, 56.41); (0.00, 0.00, -20.00); (0.00, -9.81, -0.63); 0.0; 0.0; 0.0; 0.0; 0.0; -0.045; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.17973357
(0.00, 0.00, 54.14); (0.00, -1.11, -20.07); (0.00, -9.81, -0.63); 0.0; 0.0; 0.0; 0.0; 0.0; -0.045; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.29308367
(0.00, -0.05, 53.15); (0.00, -1.59, -20.10); (0.00, -4.17, -0.63); 0.0; 0.0; 0.0; 0.0; 0.0; -0.045; 0.0; 0.0; 22.363703; 0.0; 0.0; 22.363703; 0.0; 0.0; 0.4176083; -0.01880507; 0.0; 0.0; 0.0; -0.41760826; 0.0; 0.0; 0.34215808
(0.00, -0.13, 52.18); (0.00, -1.79, -20.13); (0.00, -1.60, -0.63); 0.0; 0.0; 0.0; 0.0; 0.0; -0.045; 0.0; 0.0; 32.163445; 0.0; 0.0; 32.163445; 0.0; 0.0; 1.3851963; -0.062375948; 0.0; 0.0; 0.0; -1.3851967; 0.0; 0.0; 0.3904478
(0.00, -0.22, 51.15); (0.00, -1.88, -20.16); (0.00, -0.50, -0.64); -2.584455E-4; 0.0; 0.0; 0.0; 0.0; -0.045; 0.0; 0.0; 36.31967; 0.0; 0.0; 36.31967; 0.0; 0.0; 1.8020735; -0.081148095; 0.0; 0.0; 0.0; -1.8020725; 0.0; 0.0; 0.44171095
(0.00, -0.31, 50.17); (0.00, -1.90, -20.20); (-0.00, -0.05, -0.64); -0.0013633709; 0.0; 0.0; 0.0; 0.0; -0.045; 0.0; 0.0; 38.0546; 0.0; 0.0; 38.0546; 0.0; 0.0; 2.0042763; -0.09025337; -0.030226303; 0.0; 0.0; -2.0042763; -0.030226303; 0.0; 0.4901855
(0.00, -0.41, 49.16); (-0.00, -1.90, -20.23); (-0.02, 0.11, -0.64); -0.0035932604; 0.0; 0.0; 0.0; 0.0; -0.045; 0.0; 0.0; 38.614853; 0.0; 0.0; 38.614853; 0.0; 0.0; 2.0988164; -0.094510555; -0.16130061; 0.0; 0.0; -2.098816; -0.16130061; 0.0; 0.5401465
(-0.00, -0.50, 48.16); (-0.00, -1.90, -20.26); (-0.05, 0.14, -0.64); -0.007068797; 0.0; -9.417251E-6; 0.0; 0.0; -0.045; 0.0; 0.0; 38.721687; 0.0; 0.0; 38.7224; 0.0; 0.0; 2.154962; -0.097038805; -0.42644745; 0.0; 0.0; -2.1549625; -0.42644745; 7.133484E-4; 0.5900347
(-0.00, -0.60, 47.13); (-0.00, -1.89, -20.29); (-0.10, 0.13, -0.64); -0.011912876; 0.0; -6.979659E-5; 0.0; 0.0; -0.045; 0.0; 0.0; 38.670837; 0.0; 0.0; 38.675346; 0.0; 0.0; 2.1981764; -0.09898477; -0.8386119; 0.0; 0.0; -2.1981754; -0.8386119; 0.004508972; 0.6405765
(-0.00, -0.70, 46.11); (-0.01, -1.88, -20.32); (-0.17, 0.12, -0.64); -0.018122027; 0.0; -2.659929E-4; 0.0; 0.0; -0.045; 0.0; 0.0; 38.580875; 0.0; 0.0; 38.595505; 0.0; 0.0; 2.240177; -0.10087606; -1.4115177; 0.0; 0.0; -2.2401772; -1.4115177; 0.014629364; 0.6910279
